# NASA Exoplanet Archive PSCompPars snapshot (shipped with the release)
# fetched: 2026-08-09T19:15:07Z
# endpoint: https://exoplanetarchive.ipac.caltech.edu/TAP/sync
# query: select pl_name,st_spectype,st_teff,st_logg,st_met,st_metratio,st_rad,sy_kmag,pl_radj,pl_bmassj,pl_bmassprov,pl_orbsmax,pl_trandur from pscomppars where tran_flag=1 and st_teff is not null and st_rad is not null and pl_radj is not null and pl_orbsmax is not null order by pl_name
# rows: 4355
pl_name,st_spectype,st_teff,st_logg,st_met,st_metratio,st_rad,sy_kmag,pl_radj,pl_bmassj,pl_bmassprov,pl_orbsmax,pl_trandur
HAT-P-33 b,F4,6446.00,4.150000,0.0500,[Fe/H],1.790000,10.0040000,1.85000000,0.92000000,Mass,0.0499500000,4.4136000
HAT-P-34 b,,6442.00,4.210000,0.2200,,1.530000,9.2470000,1.19700000,3.33000000,Mass,0.0677400000,3.1752000
HAT-P-35 b,,6096.00,4.210000,0.1100,,1.435000,11.0300000,1.33200000,1.05600000,Mass,0.0497800000,3.9360000
HAT-P-36 b,G5 V,5620.00,4.416000,0.2500,[Fe/H],1.041000,10.6030000,1.27700000,1.84820000,Mass,0.0241000000,2.2320000
HAT-P-37 b,,5500.00,4.520000,0.0300,[Fe/H],0.877000,11.6670000,1.17800000,1.16900000,Mass,0.0379000000,2.3304000
HAT-P-38 b,G5,5330.00,4.450000,0.0600,[Fe/H],0.923000,10.5010000,0.82500000,0.26700000,Mass,0.0523000000,3.0408000
HAT-P-39 b,,6430.00,4.160000,0.1900,[Fe/H],1.625000,11.1570000,1.57100000,0.59900000,Mass,0.0509000000,4.1880000
HAT-P-4 b,F,5860.00,4.127000,0.2400,,1.596000,9.7700010,1.27400000,0.67100000,Mass,0.0443800000,4.2240000
HAT-P-40 b,,6080.00,3.930000,0.2200,[Fe/H],1.940000,10.0090000,1.52000000,0.48000000,Mass,0.0608000000,6.1368000
HAT-P-41 b,,6390.00,4.140000,0.2100,[Fe/H],2.050000,9.7280000,2.05000000,1.19000000,Mass,0.0425800000,3.6552000
HAT-P-42 b,,5743.00,4.140000,0.2700,[Fe/H],1.530000,10.6260000,1.28000000,1.04400000,Mass,0.0575000000,4.0344000
HAT-P-43 b,F9,5693.00,4.380000,0.2000,[Fe/H],1.080000,11.7640000,1.21598925,0.66200000,Mass,0.0444000000,3.1250000
HAT-P-44 b,,5295.00,4.460000,0.3300,[Fe/H],0.949000,11.2750000,1.24200000,0.35200000,Mass,0.0507000000,3.1248000
HAT-P-45 b,,6330.00,4.300000,0.0700,[Fe/H],1.319000,10.2010000,1.42600000,0.89200000,Mass,0.0452000000,3.4464000
